Vehicle Operator Name,Operator Code,Mode,Depot,Rapid Vehicle Number,Operator Vehicle Number,Make Model,Vechicle Reg. Number,Date Of Registration,Date of Manufacture,Registration Age,Manufacture Age,Date Of Mid Life Update,Seating Capacity,Standing Capacity,Total Capacity,Seating Capacity Secondary School,Standing Capacity Secondary School,Seating Capacity Intermediate School,Standing Capacity Intermediate School,Seating Capacity Primary School,Standing Capacity Primary School,Number of Doors,Super Low Floor,Wheel Chair,Air Con.,Engine Rating,Engine Hybrid,Electric Drive Flag,VQS Compliant,USB Socket Flag,Telematics System Flag,Number Of CCTV Cameras,Sensitive Door Edges Flag,Route Specific Branding Flag,Axle Weight Front (Kg),Axle Weight Rear (Kg),Operator Code,TARE Weight (Kg),Latest File,Comments
BAYES,BA,Bus,DAIRY FLAT,33100,100,MAN NG313 Artic,EUH239,2009,2009,11,11,,70,48,118,70,48,105,54,105,54,2,Y,Y,Y,EURO3,N,N,N,N,Y,4,Y,,,,BA,,Nov-2020,Spare
BAYES,BA,Bus,DAIRY FLAT,33111,111,Neoplan JNP6130G,EUD410,2009,2008,11,12,,45,28,73,49,29,74,25,74,32,2,Y,Y,Y,EURO4,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Spare
BAYES,BA,Bus,DAIRY FLAT,33112,112,Neoplan JNP6130G,EUD411,2009,2008,11,12,,45,28,73,49,29,74,25,74,32,2,Y,Y,Y,EURO4,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 9
BAYES,BA,Bus,DAIRY FLAT,33125,125,Neoplan JNP6120GR,GSS505,2012,2012,8,8,,42,22,64,46,18,69,21,69,21,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 18
BAYES,BA,Bus,DAIRY FLAT,33128,128,Neoplan JNP6130GR,HAU279,2013,2013,7,7,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Spare
BAYES,BA,Bus,DAIRY FLAT,33129,129,Neoplan JNP6130GR,HAU280,2013,2013,7,7,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 43 / 24
BAYES,BA,Bus,DAIRY FLAT,33131,131,Neoplan JNP6120GR,HME151,2014,2014,6,6,,42,22,64,46,18,69,21,69,21,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 7 & 2
BAYES,BA,Bus,DAIRY FLAT,33132,132,Neoplan JNP6120GR,HME152,2014,2014,6,6,,42,22,64,46,18,69,21,69,21,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 8
BAYES,BA,Bus,DAIRY FLAT,33133,133,Neoplan JNP6130GR,JFK919,2015,2015,5,5,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 13
BAYES,BA,Bus,DAIRY FLAT,33155,155,Alexander Dennis E200,MBR487,2019,2019,1,1,,40,18,58,40,18,58,20,58,20,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,8,Y,,,,BA,,Nov-2020,Route 4
BAYES,BA,Bus,DAIRY FLAT,33156,156,Alexander Dennis E200,MBR486,2019,2019,1,1,,40,18,58,40,18,58,20,58,20,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,8,Y,,,,BA,,Nov-2020,Route 17
BAYES,BA,BUS,DAIRY FLAT,33134,134,Neoplan JNP6130GR,JFK920,2015,2015,5,5,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 12 
BAYES,BA,BUS,DAIRY FLAT,33143,143,Neoplan JNP6130GR,KJQ802,2017,2017,3,3,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 10
BAYES,BA,BUS,DAIRY FLAT,33144,144,Neoplan JNP6130GR,KJQ803,2017,2017,3,3,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 29
BAYES,BA,BUS,DAIRY FLAT,33145,145,Neoplan JNP6130GR,KJQ804,2017,2017,3,3,,46,22,68,50,28,74,25,74,32,2,Y,Y,Y,EURO5,N,N,Y,N,Y,8,Y,,,,BA,,Nov-2020,Route 6
BAYES,BA,BUS,DAIRY FLAT,33153,153,Alexander Dennis E200,LNH538,2018,2018,2,2,,38,19,57,38,19,56,26,56,26,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,8,Y,,,,BA,,Nov-2020,Route 22
BAYES,BA,BUS,DAIRY FLAT,33154,154,Alexander Dennis E200,LNH539,2018,2018,2,2,,38,19,57,38,19,56,26,56,26,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,8,Y,,,,BA,,Nov-2020,Route 14
BAYES,BA,BUS,DAIRY FLAT,33157,157,Alexander Dennis E500,LUB536,2018,2018,2,2,,90,10,100,90,10,136,12,136,12,2,Y,Y,Y,EURO5,N,N,Y,Y,Y,13,Y,,,,BA,,Nov-2020,Route 27 & 28
BAYES,BA,BUS,DAIRY FLAT,33158,158,Alexander Dennis E500,LUB537,2018,2018,2,2,,90,10,100,90,10,136,12,136,12,2,Y,Y,Y,EURO5,N,N,Y,Y,Y,13,Y,,,,BA,,Nov-2020,Route 25
BAYES,BA,BUS,DAIRY FLAT,33159,159,Scania K360,LUF563,2018,2018,2,2,,67,47,114,67,47,101,53,101,53,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,11,Y,,,,BA,,Nov-2020,Route 20  
BAYES,BA,BUS,DAIRY FLAT,33160,160,Scania K360,LUF564,2018,2018,2,2,,67,47,114,67,47,101,53,101,53,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,11,Y,,,,BA,,Nov-2020,Route 21
BAYES,BA,BUS,DAIRY FLAT,33161,161,Scania K360,LUF565,2018,2018,2,2,,67,47,114,67,47,101,53,101,53,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,11,Y,,,,BA,,Nov-2020,Route 26
BAYES,BA,BUS,DAIRY FLAT,33162,162,Scania K360,LUF566,2018,2018,2,2,,67,47,114,67,47,101,53,101,53,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,11,Y,,,,BA,,Nov-2020,Route 5
BAYES,BA,BUS,DAIRY FLAT,33163,163,Scania K360,LUF567,2018,2018,2,2,,67,47,114,67,47,101,53,101,53,2,Y,Y,Y,EURO6,N,N,Y,Y,Y,11,Y,,,,BA,,Nov-2020,Route 19
BIRKENHEAD TRANSPORT,BT,BUS,BTL,21109,109,ADL ENVIRO200,MAH170,2019,2019,1,1,,45,38,83,45,38,67,40,67,40,2,Y,Y,Y,EURO6,,,Y,,,,,,,,BT,,May-2019,
BIRKENHEAD TRANSPORT,BT,BUS,BTL,21110,110,ADL ENVIRO200,MAH171,2019,2019,1,1,,45,38,83,45,38,67,40,67,40,2,Y,Y,Y,EURO6,,,Y,,,,,,,,BT,,May-2019,
BIRKENHEAD TRANSPORT,BT,BUS,BTL,21111,111,ADL ENVIRO200,MAS542,2019,2019,1,1,,45,38,83,45,38,67,40,67,40,2,Y,Y,Y,EURO6,,,Y,,,,,,,,BT,,May-2019,
BIRKENHEAD TRANSPORT,BT,BUS,BTL,21112,112,ADL ENVIRO200,MAS540,2019,2019,1,1,,45,38,83,45,38,67,40,67,40,2,Y,Y,Y,EURO6,,,Y,,,,,,,,BT,,May-2019,
GO BUS,GB,Bus,EAST,26264,5293,M.A.N 16.250,MFQ454,2019,2019,1,1,,36,18,54,36,18,54,15,54,15,2,Y,Y,Y,EURO5,N,N,Y,Y,Y,6,Y,N,,,GB,9280,Oct-2020,
GO BUS,GB,Bus,MANGERE,26036,2036,Factory Built PK6120,KFT930,2009,2009,11,11,,39,18,57,39,18,41,19,41,19,2,Y,Y,Y,EURO5,N,N,Y,Y,Y,6,Y,N,,,GB,12860,Oct-2020,
GO BUS,GB,Bus,MANGERE,26037,2037,Factory Built PK6120,FAA26,2009,2009,11,11,,39,18,57,39,18,41,19,41,19,2,Y,Y,Y,EURO5,N,N,Y,Y,Y,6,Y,N,,,GB,12860,Oct-2020,
GO BUS,GB,Bus,MANGERE,26042,2042,Factory Built PK6120,FAA35,2009,2009,11,11,,39,18,57,39,18,41,19,41,19,2,Y,Y,Y,EURO5,N,N,Y,Y,Y,6,Y,N,,,GB,12860,Oct-2020,
