Mode,Year,Month,Display Route Number,PTOM vehicle type,Rapid vehicle number,Vehicle trips,Vehicle kms,Pax,Pax kms
Bus,2020,12,101,LB-D,14011,1,19.576,2,7.255
Bus,2020,12,101,LB-D,14041,1,20.058,3,10.149
Bus,2020,12,101,LB-D,14049,1,19.576,2,10.337
Bus,2020,12,101,LB-D,14053,2,30.087,4,14.59
Bus,2020,12,101,LB-D,14054,1,20.058,3,14.276
Bus,2020,12,101,LB-D,14055,1,20.058,3,13.619
Bus,2020,12,101,LB-D,14057,1,9.788,1,5.186
Bus,2020,12,101,LB-D,14081,1,9.788,1,4.832
Bus,2020,12,101,LB-D,14120,1,9.788,3,3.024
Bus,2020,12,101,LB-D,14209,1,9.788,1,5.365
Bus,2020,12,101,LB-D,14212,1,9.788,3,12.7602
Bus,2020,12,101,LB-D,14268,1,20.058,2,10.437
Bus,2020,12,101,LB-D,14276,1,30.087,6,17.23589
Bus,2020,12,101,LB-D,14279,1,10.029,1,3.973
Bus,2020,12,101,LB-D,14300,1,10.029,3,6.062
Bus,2020,12,105,LB-D,11458,2,37.055,31,93.79448
Bus,2020,12,105,LB-D,11462,2,22.209,8,29.69
Bus,2020,12,105,LB-D,11463,3,29.652,10,31.95365
Bus,2020,12,105,LB-D,12152,2,22.229,14,52.176
Bus,2020,12,105,LB-D,12467,2,14.826,8,32.339
Bus,2020,12,105,LB-D,12468,2,22.229,6,25.733
Bus,2020,12,105,LB-D,12474,13,111.245,36,112.349
Bus,2020,12,105,LB-D,14001,23,274.271,106,344.27736
Bus,2020,12,105,LB-D,14011,12,170.449,94,313.81335
Bus,2020,12,105,LB-D,14040,2,22.229,6,16.82
Bus,2020,12,105,LB-D,14041,18,214.947,77,274.72503
Bus,2020,12,105,LB-D,14043,8,88.936,35,111.29096
Bus,2020,12,105,LB-D,14044,4,44.458,21,51.79868
Bus,2020,12,105,LB-D,14046,33,340.978,132,400.31506
Bus,2020,12,105,LB-D,14048,1,14.846,3,11.156
Bus,2020,12,105,LB-D,14050,11,148.26,62,228.751
Bus,2020,12,105,LB-D,14051,9,96.359,47,176.20391
Bus,2020,12,105,LB-D,14052,25,281.674,101,289.10143
Bus,2020,12,105,LB-D,14053,1,7.423,4,5.938
Bus,2020,12,105,LB-D,14054,2,29.612,10,32.373
Bus,2020,12,105,LB-D,14056,22,318.689,170,553.72783
